Date,SSE50,CSI300,CSI500
2013/11/27,1648.79,2414.48,3889.76
2013/11/28,1664.63,2439.53,3922.67
2013/11/29,1661.41,2438.94,3946.38
2013/12/2,1678.87,2418.79,3770.87
2013/12/3,1681.51,2442.78,3859.96
2013/12/4,1699.18,2475.14,3933
2013/12/5,1692.38,2468.2,3928.72
2013/12/6,1675.26,2452.29,3918.78
2013/12/9,1669.87,2450.87,3947.7
2013/12/10,1670.55,2453.32,3950.49
2013/12/11,1639.18,2412.76,3906.78
2013/12/12,1631.91,2410.02,3916.96
2013/12/13,1626.41,2406.64,3925.43
2013/12/16,1602.46,2367.92,3857.72
2013/12/17,1597.27,2356.38,3834.03
2013/12/18,1598.68,2357.23,3834.05
2013/12/19,1580.11,2332.41,3795.02
2013/12/20,1537.41,2278.14,3747
2013/12/23,1541.27,2284.6,3742.74
2013/12/24,1539.6,2288.25,3768.7
2013/12/25,1547.36,2305.11,3808.45
2013/12/26,1524.88,2265.33,3743.13
2013/12/27,1550.22,2303.48,3800.77
2013/12/30,1547.92,2299.46,3813
2013/12/31,1574.78,2330.03,3829.1
2014/1/2,1561.1,2321.98,3847.88
2014/1/3,1536.07,2290.78,3816.32
2014/1/6,1512.93,2238.64,3710.9
2014/1/7,1510.65,2238,3733.66
2014/1/8,1515.33,2241.91,3738.21
2014/1/9,1503.88,2222.22,3696.02
2014/1/10,1498.27,2204.85,3628.63
2014/1/13,1494.61,2193.68,3612.02
2014/1/14,1499.29,2212.85,3683.53
2014/1/15,1488.51,2208.94,3708.14
2014/1/16,1493.09,2211.84,3714.31
2014/1/17,1475.67,2178.49,3671.92
2014/1/20,1464.84,2165.99,3644.13
2014/1/21,1478.88,2187.41,3700.11
2014/1/22,1514.12,2243.8,3799.04
2014/1/23,1499.03,2231.89,3825.49
2014/1/24,1502.07,2245.68,3882.67
2014/1/27,1478.87,2215.92,3881.95
2014/1/28,1487.8,2219.86,3873.81
2014/1/29,1494.49,2227.78,3908.45
2014/1/30,1477.35,2202.45,3885.42
2014/2/7,1475.34,2212.48,3957.67
2014/2/10,1505.83,2267.53,4074.63
2014/2/11,1528.32,2285.56,4080.38
2014/2/12,1527,2291.25,4125.41
2014/2/13,1528.02,2279.55,4064.42
2014/2/14,1534.24,2295.58,4134.16
2014/2/17,1538.11,2311.65,4212.75
2014/2/18,1508.54,2282.44,4207.7
2014/2/19,1533.4,2308.66,4207.99
2014/2/20,1520.14,2287.44,4149.07
2014/2/21,1505.33,2264.29,4121.92
2014/2/24,1468.06,2214.51,4105.79
2014/2/25,1440.89,2157.91,3961.44
2014/2/26,1444.2,2163.41,3987.48
2014/2/27,1452.46,2154.11,3934.73
2014/2/28,1464.32,2178.97,3975.93
2014/3/3,1462.69,2190.37,4058.8
2014/3/4,1464.28,2184.27,4059.57
2014/3/5,1448.33,2163.98,4037.78
2014/3/6,1459.51,2173.63,4032.76
2014/3/7,1455.59,2168.36,4012.45
2014/3/10,1408.87,2097.79,3860.24
2014/3/11,1412.73,2108.66,3864.26
2014/3/12,1418.7,2114.13,3865.66
2014/3/13,1437.39,2140.33,3907.15
2014/3/14,1426.4,2122.84,3888.98
2014/3/17,1434.16,2143.04,3967.15
2014/3/18,1427.63,2138.13,3989.2
2014/3/19,1418.71,2120.87,3980.67
2014/3/20,1406.92,2086.97,3876.58
2014/3/21,1464.08,2158.8,3952.39
2014/3/24,1477.53,2176.55,3985.86
2014/3/25,1470.12,2174.44,3991.14
2014/3/26,1467.08,2171.05,4001.5
2014/3/27,1464.53,2155.71,3944.04
2014/3/28,1472.05,2151.97,3865.3
2014/3/31,1465.78,2146.31,3840.54
2014/4/1,1473.14,2163.12,3899.49
2014/4/2,1491.3,2180.73,3902.04
2014/4/3,1477.49,2165.01,3896.28
2014/4/4,1490.33,2185.47,3939.23
2014/4/8,1534.75,2237.32,3981.63
2014/4/9,1530.88,2238.62,4018.55
2014/4/10,1570.4,2273.76,4038.84
2014/4/11,1565.31,2270.67,4021.19
2014/4/14,1557.7,2268.61,4051.33
2014/4/15,1523.22,2229.46,4021.91
2014/4/16,1527.05,2232.53,4019.88
2014/4/17,1520.56,2224.8,4014.94
2014/4/18,1521.28,2224.48,4029.26
2014/4/21,1493.76,2187.25,3965.34
2014/4/22,1509.55,2196.8,3947.17
2014/4/23,1507.04,2194.67,3929.17
2014/4/24,1510.29,2190.47,3884.81
2014/4/25,1501.05,2167.83,3800.68
2014/4/28,1483.78,2134.97,3684.59
2014/4/29,1496.01,2158.47,3738.93
2014/4/30,1494.81,2158.66,3766.17
2014/5/5,1487.53,2156.47,3798.29
2014/5/6,1485.25,2157.33,3817.98
2014/5/7,1476.18,2137.32,3749.97
2014/5/8,1478.72,2135.5,3754.01
2014/5/9,1480.74,2133.91,3716.02
2014/5/12,1508.39,2180.05,3812.76
2014/5/13,1503.52,2174.85,3806.89
2014/5/14,1500.83,2172.37,3803.8
2014/5/15,1488.77,2144.08,3732.34
2014/5/16,1487.74,2145.95,3726.66
2014/5/19,1459.21,2115.14,3705.36
2014/5/20,1460.82,2115.77,3715.71
2014/5/21,1474.14,2135.91,3747.33
2014/5/22,1471.55,2130.87,3746.14
2014/5/23,1484.38,2148.41,3786.56
2014/5/26,1486.05,2155.98,3827.49
2014/5/27,1479.73,2147.28,3818.32
2014/5/28,1491.76,2169.35,3861.59
2014/5/29,1484.31,2155.16,3821.87
2014/5/30,1482.1,2156.46,3829.24
2014/6/3,1477.52,2149.92,3822.72
2014/6/4,1466.39,2128.27,3789.29
2014/6/5,1484.24,2150.6,3832.06
2014/6/6,1472.27,2134.72,3818.33
2014/6/9,1475.35,2134.28,3797.43
2014/6/10,1493.53,2161.27,3840.02
2014/6/11,1488.76,2160.77,3858.05
2014/6/12,1483.86,2153.41,3850.11
2014/6/13,1502.96,2176.24,3891.56
2014/6/16,1518.71,2191.86,3914.98
2014/6/17,1501.94,2169.67,3879.34
2014/6/18,1495.43,2160.24,3858.1
2014/6/19,1478.04,2126.91,3755.69
2014/6/20,1484.48,2136.73,3789.34
2014/6/23,1475.76,2134.11,3815.88
2014/6/24,1480.13,2144.82,3839.2
2014/6/25,1469.95,2133.37,3814.03
2014/6/26,1478.01,2149.08,3861.95
2014/6/27,1473.76,2150.26,3889.32
2014/6/30,1482.41,2165.12,3924.9
2014/7/1,1481.66,2164.56,3951.73
2014/7/2,1484.84,2170.87,3979.31
2014/7/3,1489.55,2180.19,4019.65
2014/7/4,1492.46,2178.7,4004.56
2014/7/7,1492.84,2176.29,4014.49
2014/7/8,1491.96,2180.47,4039.71
2014/7/9,1475.14,2148.71,3982.4
2014/7/10,1471.17,2142.85,3982.2
2014/7/11,1468.54,2148.01,4029.75
2014/7/14,1482.78,2171.76,4090.8
2014/7/15,1484.66,2174.98,4093.11
2014/7/16,1483.18,2170.87,4062.12
2014/7/17,1473.67,2157.07,4031.44
2014/7/18,1478.76,2164.14,4042.52
2014/7/21,1479.84,2166.3,4030.24
2014/7/22,1495.93,2192.7,4083.29
2014/7/23,1506.76,2197.83,4057.11
2014/7/24,1541.9,2237.02,4054.22
2014/7/25,1557.02,2260.45,4089.8
2014/7/28,1609.48,2323.9,4168.37
2014/7/29,1611.85,2331.37,4207.86
2014/7/30,1601.38,2322.01,4214.84
2014/7/31,1621.85,2350.25,4257.05
2014/8/1,1607.97,2329.4,4210.22
2014/8/4,1644.63,2375.62,4278.85
2014/8/5,1632.41,2369.35,4300.12
2014/8/6,1619.01,2363.22,4328.6
2014/8/7,1593.42,2327.46,4286.09
2014/8/8,1595.66,2331.13,4311.7
2014/8/11,1619.25,2365.35,4377.02
2014/8/12,1607.91,2357.05,4399.81
2014/8/13,1610.14,2358.9,4401.81
2014/8/14,1596.84,2335.95,4373.5
